Reference_Year,Reference,Age_Years,Age_Months,Entry_Date,Breed_Code,Description,Dangerous,Gender,Color,Size,Animal_Name,Observations_Web,Link,Age_Years_Total
2021,61-21,8,4,2018-01-12,PITB,American Pit Bull Terrier,,M,Marró-blanc,G,WILL,"Will Is a Dog with Energy and Character, Ideal for Young Person Who Can Give Him Activity, Run and Play With Kong.LICENS IS NEEDED FOR ADOPTION.",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/61-21.jpg,8.333333333333334
2021,954-21,8,10,2021-08-05,INDE,Indefinite,,F,negre-potes tigrades,M,NINA,"The Doll is a Senior Puppy, But a Young Man of Spirit and Vry Active.it Does Not Currently Share Space with other dogs.LICENS IS NEEDED FOR ADOPTION.",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/954-21.jpg,8.833333333333334
2021,277-21,7,1,2020-04-17,INDE,Indefinite,,M,Marró,M,SONY,Sony is an energetic dog and eager to go out.it woled be ideal for a Garden or House with Terrain.,http://adoptam.terrassa.cat/wp-content/uploads/2024/06/277-21.jpg,7.083333333333333
2021,651-21,7,0,2021-05-24,INDE,Indefinite,,M,negre,G,OBLACK,"Obloc is an energetic and very active dog, Who Really Enjays Going for a walk and running.we Have Not Yet Managed to Share Space With Other Dogs.LICENS IS NEEDED FOR ADPT.",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/651-21.jpg,7.0
2021,729-21,6,4,2019-07-03,INDE,Indefinite,,F,tigrat,G,GINEBRA,Geneva is a Bitch with Energy and Eager to Run.is Affectionate with People.License is Needed for Adoption.,http://adoptam.terrassa.cat/wp-content/uploads/2024/06/729-21.jpg,6.333333333333333
2021,723-21,8,8,2019-10-07,AMBU,American Bully,,M,tigrat,M,KIMBO,Kimbo is a Friendly and Active Dog.,http://adoptam.terrassa.cat/wp-content/uploads/2024/06/723-21.jpg,8.666666666666666
2021,1049-21,3,9,2021-08-25,INDE,Indefinite,,M,blanco y negro,M,SHINIGAMI,Shinigami is A Vry Active and Quito Nervous Dog.it Does Not Share Space with Other Dogs at Present.License is Needed for Adoption.,http://adoptam.terrassa.cat/wp-content/uploads/2024/06/1049-21.jpg,3.75
2021,493-21,9,2,2019-03-21,INDE,Indefinite,,M,blanc-negre,M,DRAGO,"The Dargo is a Nervous and Active Dog, which needs a time to adapt to new situations.it does not Share Space with other dogs at present.LICENS IS NEEDED FOR ADOPTION.",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/493-21.jpg,9.166666666666666
2021,358-21,7,1,2019-10-28,INDE,Indefinite,,F,Marró-blanc,M,LINET,The Line Is a Bitch With Energy and Eager to Run.,http://adoptam.terrassa.cat/wp-content/uploads/2024/06/358-21.jpg,7.083333333333333
2021,359-21,8,7,2018-04-28,INDE,Indefinite,,M,Tigrat,G,OLIVER,"Oliver is a dog eager to run, ideal for families with house with terrain or garden.License is Needed for adoption.",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/359-21.jpg,8.583333333333334
2021,446-21,7,9,2019-07-08,PITB,American Pit Bull Terrier,,F,Negre i blanc,G,GASI,Gasi is a bitch with strength and energy.he likes to walk and play.we have not found a melow suitable for her at present.it is with treatment for cushing syndrome.it is reeentiving medical thirtment and behavioral modification guidelinesadotionation,http://adoptam.terrassa.cat/wp-content/uploads/2024/06/446-21.jpg,7.75
2021,1194-21,8,1,2021-10-26,AMBU,American Bully,,F,gris-blau,M,KYARA,"Kyara is a Caring Bitch with People, and Vry Energetic.it Does Not Share Space With Dogs at Present.it is with Treatment for Hypothyroidism.",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/1194-21.jpg,8.083333333333334
2021,434-21,7,1,2021-04-28,STAR,Staffordshire Terrier Am.,,F,blanc i marró,G,CRAZY,"Crazy Is a Crazy Bitch in the Good Sense of the Word, She is Vary Active and Eager to Go Out.WE HAV NOT YET FOUNT THE IDEAL COUPLE.LICENSE IS NEEDED FOR ADOPTION.",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/434-21.jpg,7.083333333333333
2021,491-21,4,8,2020-09-18,PITB,American Pit Bull Terrier,,M,"blanc, taques tigrades",G,JACK,"Jack is a dog with energy and needs Adaptation Time, Who Really Enjays Going for A Walk and Playing With The King's.License is Needed for Adoption.",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/491-21.jpg,4.666666666666667
2021,492-21,6,9,2019-04-17,PITB,American Pit Bull Terrier,,M,ng,M,NARCO,"Narco is a dog with a Lot of Energy, He needs to play and run.it is compatible with femals.LICENS IS NEEDED FOR ADOPTION.",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/492-21.jpg,6.75
2022,65-22,3,1,2022-01-21,INDE,Indefinite,,M,blanc i mrr,M,ROMBO,"The Rhombus Is An Active Dog and Eager to Play, But Vry Ready and That Learns Vry Quickly The Basic Orders.Share Space Withher Dogs, Specially If They are femals.it Currently Takes Hypoal.IS NEEDED FOR ADPT.",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/65-22.jpg,3.0833333333333335
2021,984-21,5,8,2021-09-09,STAR,Staffordshire Terrier Am.,,F,marró,M,KIMERA,Kimera is a quiet bitch and very affection with People.it Does not currently share space with other dogs.he is with treatment for leishmania. License is Needed for adoption.,http://adoptam.terrassa.cat/wp-content/uploads/2024/06/984-21.jpg,5.666666666666667
2021,1369-21,6,3,2021-04-09,INDE,Indefinite,,F,Marró-clar,G,LUNA,"Luna is Angentic and Timid Bitch at Gracst, But Affectionate When He Knows You.it Does Not Share Space with other Dogs at present.",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/1369-21.jpg,6.25
2021,1370-21,6,3,2019-07-16,INDE,Indefinite,,M,negre i blanc,G,ZEUS,"Zeus is an Active and Energy Dog, Which Needs to have Activity on A regular basis.",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/1370-21.jpg,6.25
2021,884-21,5,10,2021-08-12,INDE,Indefinite,,M,MARRÓ,M,LUCKY,"Lucky is a Dog with a Lot of Energy and Eager to Go Out, With Whom The Theme of Stress Must Be Work on.it Would Be Ideal For A Garden Or Tower With Space.",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/884-21.jpg,5.833333333333333
2018,134-18,10,3,2018-02-14,PITB,American Pit Bull Terrier,,F,blanc i negre,M,INDRA,"Indra is a Timid and Energetic Bitch, which enjays nature.it is vary affection with People, and can coexist with quiet dogs.it is Currently with atopic Skin.lísticense is needed for adoption.",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/134-18.jpg,10.25
2021,1378-21,7,11,2019-07-22,BULL,Sprint,,F,tigrat-blanc,M,HEATH,Heath is an energetic bit and mace that really enjoy running.,http://adoptam.terrassa.cat/wp-content/uploads/2024/06/1378-21.jpg,7.916666666666667
2022,62-22,5,1,2022-01-20,STAR,Staffordshire Terrier Am.,,M,tigrat-blanc,G,DUQUE,The Duke Is An Activce Dog and Eager to Run.it Needs A Family Eager to Go Out To Spend All This Energy.LICENS IS NEEDED FOR ADOPTION.,http://adoptam.terrassa.cat/wp-content/uploads/2024/06/62-22.jpg,5.083333333333333
2022,174-22,4,3,2022-02-19,PITB,American Pit Bull Terrier,,M,blanc i negre,G,PIRATA,"The Pirate is a dog eager to go out and walk with people, but relativly quiet in the cage.it does not share space with other dogs at present.LICENS IS NEEDED FOR ADOPTION.",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/174-22.jpg,4.25
2021,683-21,8,5,2019-04-01,INDE,Indefinite,,M,blanc i negre,G,APOLO,Apollo is a see reserved and shay dog ​​that needs time to adapt to new situations and new people.License is Needed for adoption.,http://adoptam.terrassa.cat/wp-content/uploads/2024/06/683-21.jpg,8.416666666666666
2022,31-22,3,1,2022-01-12,STAR,Staffordshire Terrier Am.,,M,"blanc, tauqes ng",M,MONTY,"Monty is a Deaf Dog, so you need to teach it in its Ow Way.He is a Ready Dog That Learns Vry Fast, and Sharing Space with Other Dogs Without Problems.LICENS IS NEEDED FOR ADOPTION.",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/31-22.jpg,3.0833333333333335
2021,680-21,7,8,2018-01-31,INDE,Indefinite,,M,tricolor,G,TIMY,"Time is a Timid and Active Dog.She Needs Time to relate to People, She likes to run.we have not found an ideal companion at the moment.",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/680-21.jpg,7.666666666666667
2022,222-22,4,9,2022-03-07,PITB,American Pit Bull Terrier,,F,blanc i negre,G,DONA,"The Woman is an Active Bitch Eager to Play, Which Needs Time To Adapt with other Dogs and, AT First, a Little Reserved with People.License is Needed for Adoption.",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/222-22.jpg,4.75
2022,406-22,5,1,2022-05-01,PITB,American Pit Bull Terrier,,F,mrr i bl,M,TINA,"Tina is an energetic bitch and eager to go out to run, who needs sum time to adapt at the beginning.líse is Needed for adoption.",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/406-22.jpg,5.083333333333333
2022,150-22,3,3,2022-02-12,INDE,Indefinite,,F,mrr,M,POMA,The Apple is a Young Bitch That is Vary Affectionate with People and Eager to Go Out and Learn New Things.share Space with other Dogs.it Currently Takes Hypoal.License is Needed for Adoption.,http://adoptam.terrassa.cat/wp-content/uploads/2024/06/150-22.jpg,3.25
2022,454-22,6,5,2022-05-11,STAR,Staffordshire Terrier Am.,,M,mrr,G,BILBO,"Bilbo is a dog with a Lot of Energy, who needs to play and run.ideal for those that do a lot of activity.it is compatible with femals.",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/454-22.jpg,6.416666666666667
2022,464-22,8,0,2022-05-15,PITB,American Pit Bull Terrier,,F,negre i blanc,M,KONGA,Konga is an Active Bitch Eager to play and run.share space with other Dogs.License is Needed for Adoption.,http://adoptam.terrassa.cat/wp-content/uploads/2024/06/464-22.jpg,8.0
2022,623-22,3,3,2022-07-05,INDE,Indefinite,,M,Negre,G,GINJOL,"Ginjol is a see Active and Energetic Dog, Eager to Run.it Would Be Ideal for A House With Terrain WHERE IT COUD SPEND ALL THE ENERGY IT HAS.LICENSE IS NEEDED FOR ADOPTION.",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/623-22.jpg,3.25
2022,297-22,8,8,2022-03-25,PITB,American Pit Bull Terrier,,M,blanc i negre,G,THOR8,"Thor8 is an Active and Energetic Dog, Eager to Run.it Does Not Share Space With Dogs at Present.License is Needed for Adoption.",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/297-22.jpg,8.666666666666666
2022,566-22,6,6,2022-06-17,PITB,American Pit Bull Terrier,,F,blanc i tigrat,G,LUNA3,"The Venus is a relativly quiet bitch, but eager to go out for a walk.share space with the companion She Arrided, Venus.License is Needed for adoption.",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/566-22.jpg,6.5
2022,456-22,7,4,2022-05-13,PALE,German Shepherd,,F,mnrr,G,LENA,"Lena is a bitch reserved If he dos not know you, but over time it is confident.it is vary active.",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/456-22.jpg,7.333333333333333
2022,271-22,6,2,2022-03-19,INDE,Indefinite,,F,blanc i negre,M,ONA,"Ona is a See Smart Bitch Who Learns Routines Vry Quickly, and Is Vry Fond of People, But Cannot Share Space With Other Dogs.LICENS IS NEEDED FOR ADOPTION.",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/271-22.jpg,6.166666666666667
2022,20-22,3,3,2022-01-07,STAR,Staffordshire Terrier Am.,,M,tigrat-blanc,G,RUBIO,"Rubio Is An Active Dog, But Reerved at The Beginning Or in Situations That Could Be New Or Stressful for Him.it Does Not Share Space with Other Dogs at Present.License is Needed for Adopt.",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/20-22.jpg,3.25
2022,565-22,5,11,2022-06-17,PITB,American Pit Bull Terrier,,F,bl / atigrat,G,VENUS,"The Venus is a relativley quiet bitch, but eager to go out for a walk.share space with the companion She Arrided, Luna 3.írse is Needed for adoption.",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/565-22.jpg,5.916666666666667
2022,318-22,3,0,2022-03-31,INDE,Indefinite,,F,mrr,M,CANELA,"The Canela is a Vry Energetic Bitch and Eager to Play, and Vary Affectionate with People.it Gets Along Well with the Other Dogs, Although It Takes A Time of Adaptation.License is Needed for Adoption.",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/318-22.jpg,3.0
2022,107-22,8,9,2022-02-05,PITB,American Pit Bull Terrier,,M,tigrat,G,THOR7,"Thor is Anne Energetic Dog, But reerved with People and Needs Time to adapt to new situations.He is with treatment for leishmania.License is Needed for Adoption.",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/107-22.jpg,8.75
2022,763-22,3,4,2022-08-19,STAR,Staffordshire Terrier Am.,,M,mrr,G,ZEUS3,"Zeus3 is an Active and Vry Energy Dog, Ideal for Going On Hiking in the Mountains.LICENS IS NEEDED FOR ADOPTION.",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/763-22.jpg,3.3333333333333335
2023,162-23,2,9,2023-02-20,INDE,Indefinite,,M,mrr,G,BOSTON,"Boston Is An Active and Energetic Dog, Ideal for A House With Space.Can Share With Othher Dogs in Sub Subits.is Currently With Behavioral Treatment",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/162-23.jpg,2.75
2023,279-23,5,2,2023-03-29,PITB,American Pit Bull Terrier,,M,marró car,G,COSMOS,"The Cosmos Is An Active and Energy, which does not Currently Share Space with Other Dogs.License is Needed for Adoption.",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/279-23.jpg,5.166666666666667
2022,604-22,4,11,2022-06-29,MAST,Mass,,M,blanc,G,RYUK,"Ryuk is a Nervous and Active Dog, Eager to Party and Vary Affectionate with People.HE is with Treatment for Leishmania.",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/604-22.jpg,4.916666666666667
2023,372-23,2,4,2023-04-21,PITB,American Pit Bull Terrier,,F,bl/mrr,M,TELURIA,"Telecuria is a Young, Active and Playful Bitch, Who is Really Looking forward to Running Through the Mountain.it Does Not Share Space Withher Dogs at Present.License is Needed for Adoption.",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/372-23.jpg,2.3333333333333335
2022,1080-22,8,6,2022-11-21,INDE,Indefinite,,M,ng,M,BELLO,Bello Is a Little Scary Dog That Needs Time to Gain Conjidenze.share Space with Other Dogs.,http://adoptam.terrassa.cat/wp-content/uploads/2024/06/1080-22.jpg,8.5
2022,558-22,3,4,2022-06-14,AMBU,American Bully,,M,blau,G,FUYUS,"Fuyus is an affection and very energy dog, with whom you have to work on the theme of the strap and muzzle.currently not sharing Space with likele dogs.líso is Needed for adoption.",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/558-22.jpg,3.3333333333333335
