Reference_Year,Reference,Age_Years,Age_Months,Entry_Date,Breed_Code,Description,Dangerous,Gender,Color,Size,Animal_Name,Observations_Web,Link,Age_Years_Total
2022,903-22,8,8,2022-09-26,INDE,Indefinite,,M,mrr,G,CÁNDIDO,"Cándido is a senior dog, but vry active and eager to run.",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/903-22.jpg,8.666666666666666
2023,876-23,1,9,2023-08-17,STAR,Staffordshire Terrier Am.,,M,negre i blanc,M,KENJI,"Kenji Is An Active, Energy, and Can Not Share Space Withher Dogs.it Is Receiving Medical Treatment and Behavioral Modification Guidelines.LICENS IS NEEDED FOR ADOPTION.",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/876-23.jpg,1.75
2022,915-22,5,8,2022-09-28,ROTT,ROTTWEILER,,M,pròpia,G,LANCE,LICENS IS NEEDED FOR ADOPTION.,http://adoptam.terrassa.cat/wp-content/uploads/2024/06/915-22.jpg,5.666666666666667
2021,1212-21,3,8,2021-11-02,AMBU,American Bully,,F,gris,M,THAIS,"Thais is a reserved and shay bit, which needs to quiet family and with time to adapt.she get Along Well with other dogs.it is Currently with Medical Treatment Due to Involvement and Receives Guidelines For Behavioral Modification.",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/1212-21.jpg,3.6666666666666665
2022,1021-22,3,7,2022-11-01,INDE,Indefinite,,F,marró,G,MIEL,"Honey is a relativly quiet bitch, eager to go out for a walk in the Mountains and Affection with People.it Does Not Share Space with other dogs at present.LICENS IS NEEDED FOR ADOPTION.",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/1021-22.jpg,3.5833333333333335
2023,342-23,3,1,2023-04-16,STAR,Staffordshire Terrier Am.,,M,canela,G,BLUE,"Blue Is Ann Energetic and Active Dog, But Quiet for a Walk and It Brings Great With The Other Dogs, Specially Femals.LICENS IS NEEDED FOR ADOPTION.",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/342-23.jpg,3.0833333333333335
2023,850-23,1,10,2023-08-09,INDE,Indefinite,,M,Marró,G,BROWN,"Brown Is a Vary Active and Vary Affectionate Dog, Who Does Not Currently Share Space With Other Dogs.LICENS IS NEEDED FOR ADOPTION.",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/850-23.jpg,1.8333333333333335
2023,839-23,2,10,2023-08-04,EURO,European,,M,bl-ng,G,NAS,The nose is a reserved cat with People Who Need Adaptation Time.share Space with Other Cats.,http://adoptam.terrassa.cat/wp-content/uploads/2024/06/839-23.jpg,2.8333333333333335
2022,563-22,3,5,2022-06-15,INDE,Indefinite,,M,"blanc, taques negres.",G,DAU,LICENS IS NEEDED FOR ADOPTION.,http://adoptam.terrassa.cat/wp-content/uploads/2024/06/563-22.jpg,3.4166666666666665
2023,443-23,2,6,2023-05-06,STAR,Staffordshire Terrier Am.,,M,tigrat-blanc,G,FUNK,"Funk Is a Vary Active and Vary Energy Dog, Ideal For Going Out for Sports.it Does Not Share Space with other Dogs at present.LICENS IS NEEDED FOR ADOPTION.",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/443-23.jpg,2.5
2023,164-23,4,3,2023-02-23,STAR,Staffordshire Terrier Am.,,F,gris / bl,G,FADA,"The Fairy is an Active and Vary Friendly Bitch, Which Shares Space with Other Dogs.He is with Treatment for Leishmania.LICENS IS NEEDED FOR ADOPTION.",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/164-23.jpg,4.25
2023,148-23,8,11,2023-02-13,STAR,Staffordshire Terrier Am.,,F,gris / blanc,M,NALA,Nala is a Vary Affection Bitch With People and Calm Enough.nala You Have Been Intervened by a Bilateral Previous Previous Previous Crossing Ligaments.HE IS ALSO WITH TREATMENT FOR LEISHMANIA.License is Needed for Adoption.,http://adoptam.terrassa.cat/wp-content/uploads/2024/06/148-23.jpg,8.916666666666666
2024,322-24,2,0,2024-05-13,EURO,European,,M,blanc i negre,G,LIMP,"Error: Sequence Item 0: Experience Str Instance, Nonetype Found",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/322-24.jpg,2.0
2024,323-24,1,0,2024-05-14,EURO,European,,M,tigrat i blanc,G,AVINYÓ,"Error: Sequence Item 0: Experience Str Instance, Nonetype Found",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/323-24.jpg,1.0
2023,1229-23,8,6,2023-11-23,STAR,Staffordshire Terrier Am.,,F,mrr-bl,M,TAIS,"Kira is a Fairly Active and Playful Bitch, Sociable with People.Does Not Share Space with Other Dogs.LICENS IS NEEDED FOR ADOPTION.",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/1229-23.jpg,8.5
2023,861-23,2,4,2023-08-14,STAR,Staffordshire Terrier Am.,,M,marró-bl,G,ROQUE,"Roque is an Active and Energetic Dog, Who Cannot Share Space With Othher Dogs.it is Relay Medical Treatment and Behavioral Modification Guidelines.it You Have Been Diagnosed With An Ischemic Dermatopathy, So It is with Daily Treatment, Oral Via.",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/861-23.jpg,2.3333333333333335
2024,39-24,6,4,2024-01-21,INDE,Indefinite,,F,marró,M,VALLE,"The Valle Is a Vary Active Bitch, which does not Share Space with Othher Dogs.it is recEising Medical Treatment and Behavioral Modification Guidelines.",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/39-24.jpg,6.333333333333333
2024,395-24,1,2,2024-06-04,PBAS,Basque Shepherd,,M,negre,M,CHICO,"Error: Sequence Item 0: Experience Str Instance, Nonetype Found",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/395-24.jpg,1.1666666666666667
2023,1050-23,1,2,2023-10-04,EURO,European,,M,bl / ng,M,TEXÀ,"The Texan Is a Cushion and Affectionate Cat, Which Shares Space With Othher Cats.it Suffers From What is Known As The Short Intestine Syndrome, So It Needs Special Feed.",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/1050-23.jpg,1.1666666666666667
2023,1337-23,2,5,2023-12-24,PBEL,Belgian Shepherd,,M,pròpia,G,TARANTINO,Tarantino is a Loving Dog with People and a Little Active.He is with Treatment for Leishmania.,http://adoptam.terrassa.cat/wp-content/uploads/2024/06/1337-23.jpg,2.4166666666666665
2021,1414-21,5,5,2021-12-28,STAR,Staffordshire Terrier Am.,,M,ng,G,NEGRE,"Black Is Ann Energetic Dog, Eager to Go Out and Play, and Affection with People.He Does Not Share Space with other dogs at present, is with treatment for leishmania, and eats renal feed.límicense is Needed for adoption.",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/1414-21.jpg,5.416666666666667
2024,153-24,3,2,2024-03-10,INDE,Indefinite,,F,marró,M,SWEETY,"Sweety is a Vryuffi and Active Bitch, Which Can Share Space with Other Dogs.",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/153-24.jpg,3.1666666666666665
2023,1096-23,0,11,2023-10-17,EURO,European,,F,tigrat,M,CASPIA,"Caspia Arrived with Sub Brothers and Eye Problems, and Is Currently Discharge.with cats it Gets Great, But It is a bit reserved with People.",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/1096-23.jpg,0.9166666666666666
2024,87-24,8,1,2024-02-13,PALE,German Shepherd,,M,Pròpia,G,ROCKY,"Rocky Is An Active and Energy with Energy.it Does Not Share Space Withher Dogs at present.it haen diagnosed with bilateral coxofemora Coxofemora Displasia with Secondary osteoarthrosis, Which Receives periodic Treatment for This Reason.",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/87-24.jpg,8.083333333333334
2023,1227-23,2,3,2023-11-22,STAR,Staffordshire Terrier Am.,,F,blanc i negre,M,KIRA1,Kira is an Active and Sociable Bitch With People.does not share Space with Other Dogs.License is Needed for Adoption.,http://adoptam.terrassa.cat/wp-content/uploads/2024/06/1227-23.jpg,2.25
2023,1080-23,1,5,2023-10-12,INDE,Indefinite,,M,tigrat,G,DOGGY,"Doggy is an Active and Energy Dog, Which Does Not Share Space With Othher Dogs for The Moment.lice is Needed for Adoption.",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/1080-23.jpg,1.4166666666666667
2024,209-24,4,2,2024-04-01,EURO,European,,M,blanc-negre,G,KONGO,"Kongo is a cat reserved at first, but quickly Becomes Confident.you Can Share Space with Other Cats.",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/209-24.jpg,4.166666666666667
2023,246-23,2,10,2023-03-21,INDE,Indefinite,,M,mrr clar / bl,G,CHIP,"The chip is a quiet dog and a Little Scary at the Beginning, so it takes time to adapt.is Affectionate with People.HE Arrived with the chop, with whom he has a good relationship as brothers.",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/246-23.jpg,2.8333333333333335
2023,245-23,2,10,2023-03-21,INDE,Indefinite,,M,mrr clar/ bl (morro ng),G,CHOP,"The Chop is a quiet dog and needs Adaptation Time, and very affection to People.He Arrived with the chip, with whom he has been full -Fledged Brothers Relationship.",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/245-23.jpg,2.8333333333333335
2023,1045-23,4,9,2023-10-04,PALE,German Shepherd,,M,bicolor,G,HERCULES,"HERULES IS AN ACTICE AND ENERGIZED DOG, BUT A LITTLE REESERVED AND NEEDS SUB TIM TO ADAPT.HE DOES NOT SHARE SPACE WITH OTHER DOGS AT PRESENT, BUT WITH SPACE AND A FEMALE, HE MIGHT SHARE.",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/1045-23.jpg,4.75
2023,609-23,1,1,2023-06-12,EURO,European,,F,tigrat,M,XUPAXUPS,"Chupaxups are an active and a bit naughty cat, but repfectionate with people and other cats.He suffered from desapoSera Calleed Felina Infectious Peritonitis (PIF), and is Currently Stable and Without Clinical Signs.it Would Be Ideal As A Single Cat.",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/609-23.jpg,1.0833333333333333
2023,837-23,6,8,2023-08-02,INDE,Indefinite,,M,"tigrat, pèl semidur",M,THOR XI,"Thor Xi Is a Good Juck, As It is Vary Active and Energetic, and Vary Coving with People.share Space With Other Dogs Without Problems.",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/837-23.jpg,6.666666666666667
2024,65-24,0,8,2024-02-05,PITB,American Pit Bull Terrier,,M,negre / blanc,M,BOGGY,"BOGY IS A VERY ACTICE AND VERY ENERGY DOG, WHICH DOES NOT CURRENTLY SHARE SPAC",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/65-24.jpg,0.6666666666666666
2023,1150-23,3,7,2023-11-01,PALE,German Shepherd,,M,marró / negre,G,YANKO,"YANKO IS A GERMAN SHEPHERD WITH CHARACTER, ENERGY AND A LOT OF STRENGTH, IDEAL FOR PEOPLE WHO HAV SPACE AND DESIRE TO GO OUT TO EXERCISE.IT DOES NOT SHARE SPACE WITH OTHER DOGS AT PRESENT.",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/1150-23.jpg,3.5833333333333335
2024,303-24,0,4,2024-05-07,INDE,Indefinite,,M,bl-mrr,M,BERLIN,"Error: Sequence Item 0: Experience Str Instance, Nonetype Found",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/303-24.jpg,0.3333333333333333
2024,16-24,5,5,2024-01-09,EURO,European,,M,bl / gris,G,SOMNI,"Sleep is an initially reserved cat, which needs time to relate to People.it Gets Along Well with the Other Cats.",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/16-24.jpg,5.416666666666667
2023,1335-23,3,5,2023-12-22,STAR,Staffordshire Terrier Am.,,M,marró / blanc,G,HULK,"Hulk is an affection Dog with People, who has an atxicated march due to neurological problem.it is with Daily Treatment for Epileptiform Attacks.",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/1335-23.jpg,3.4166666666666665
2023,866-23,6,3,2023-08-15,INDE,Indefinite,,M,marró,G,MAX,"Max Is An Active and Energy Dog, which does not Currently Share Space.",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/866-23.jpg,6.25
2023,825-23,2,6,2023-07-28,INDE,Indefinite,,M,marró,G,RANDY,"Randy is an Active and Playful Dog, Who Does Not Currently Share A Space for a Perq+ue Who Had Shared Space With A Female.License is Needed for Adoption.",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/825-23.jpg,2.5
2024,30-24,8,0,2024-01-17,INDE,Indefinite,,F,"mrr fosc, pit blanc",G,ISA,"Error: Sequence Item 0: Experience Str Instance, Nonetype Found",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/30-24.jpg,8.0
2023,803-23,2,10,2023-07-23,EURO,European,,M,gris / blanc,G,CAPRI,"The Capri is a cat, affection to the People and Quiet Aaugh, Who Shares Space with the Other Cats.",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/803-23.jpg,2.8333333333333335
2024,162-24,4,2,2024-03-11,INDE,Indefinite,,F,blanc i negre,M,KENZA,Kenza is an Active and Loving Bitch With People.it Does Not Share Space with Other Dogs at Present.,http://adoptam.terrassa.cat/wp-content/uploads/2024/06/162-24.jpg,4.166666666666667
2023,533-23,2,0,2023-05-22,STAR,Staffordshire Terrier Am.,,M,"marro xoco, pit blanc",M,GOLFO2,"Gulf2 is an Active and Energy Dog, But Those Who Like To Go Quietly Walks and Make Stalls for Caricies.He Does Not Share with other Dogs at The Moment.",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/533-23.jpg,2.0
2023,1095-23,0,11,2023-10-17,EURO,European,,F,tigrat-tricolor,M,PERLA2,The Pearl2 Arrived with Sub Brothers and with Eye Problems.,http://adoptam.terrassa.cat/wp-content/uploads/2024/06/1095-23.jpg,0.9166666666666666
2024,191-24,5,2,2024-03-24,EURO,European,,M,tigrat,G,OLI,"The Oil is a quiet and affection cat, who can share Space with Other Dogs.",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/191-24.jpg,5.166666666666667
2024,277-24,3,1,2024-04-30,INDE,Indefinite,,M,blanc i mrr,G,TORRÓ,"Error: Sequence Item 0: Experience Str Instance, Nonetype Found",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/277-24.jpg,3.0833333333333335
2024,243-24,2,9,2024-04-16,INDE,Indefinite,,M,negre,G,MICENAS,"Error: Sequence Item 0: Experience Str Instance, Nonetype Found",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/243-24.jpg,2.75
2023,677-23,5,4,2023-06-22,STAR,Staffordshire Terrier Am.,,F,marró-blanc,M,MEGA,"Mega is a bitch initially reserved, but affection when",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/677-23.jpg,5.333333333333333
2023,807-23,8,10,2023-07-24,EURO,European,,F,bl-ng,G,FLOWERS,"The Flowers is a see quiet and a little reserved cat, which Shares Space with other cats without problems.I have suffered to Liver Problem, so He has takes Daily Preventive Medication.",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/807-23.jpg,8.833333333333334
2023,1048-23,6,9,2023-10-04,STAR,Staffordshire Terrier Am.,,F,ng,G,TINA2,"Tina2 is a vary affection Bitch with People, Who Shares Space with Other Dogs.it is with Treatment for Leishmania to License is Needed for Adoption.",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/1048-23.jpg,6.75
2023,1235-23,7,2,2023-11-24,PALE,German Shepherd,,M,pròpia,G,ZED,"Zed is an Active and Affectionate Dog, Who Shares Space Withher Dogs.it You Have Discomfort at The Lumbosacra Level, So it Takes Daily Medication and Wouold have to do a moderate exercise.",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/1235-23.jpg,7.166666666666667
2023,816-23,1,10,2023-07-27,INDE,Indefinite,,M,Marró,G,POT,"The Jar is an Active and Energetic Dog, A Quiet Time for A Walk and Affectionate With The People.HE IS WITH TREATMENT FOR LEISHMANIA.LICENSE IS NEEDED FOR ADOPTION.",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/816-23.jpg,1.8333333333333335
